Dec 22, 2010,Uniques 63,966
Dec 23, 2010,Uniques 56,067
Dec 24, 2010,Uniques 41,506
Dec 25, 2010,Uniques 29,792
Dec 26, 2010,Uniques 33,391
Dec 27, 2010,Uniques 44,947
Dec 28, 2010,Uniques 62,123
Dec 29, 2010,Uniques 66,881
Dec 30, 2010,Uniques 56,088
Dec 31, 2010,Uniques 49,859
Jan 1, 2011,Uniques 38,909
Jan 2, 2011,Uniques 46,192
Jan 3, 2011,Uniques 62,423
Jan 5, 2011,Uniques 79,854
Jan 6, 2011,Uniques 73,224
Jan 7, 2011,Uniques 71,842
Jan 8, 2011,Uniques 49,732
Jan 9, 2011,Uniques 47,360
Jan 10, 2011,Uniques 71,925
Jan 11, 2011,Uniques 70,638
Jan 12, 2011,Uniques 87,114
Jan 13, 2011,Uniques 72,907
Jan 14, 2011,Uniques 69,589
Jan 18, 2011,Uniques 95,787
Jan 20, 2011,Uniques 81,345
Jan 21, 2011,Uniques 73,218
Jan 22, 2011,Uniques 57,856
Jan 23, 2011,Uniques 56,164
Jan 24, 2011,Uniques 73,375
Jan 25, 2011,Uniques 78,922
Jan 26, 2011,Uniques 83,565
Jan 27, 2011,Uniques 77,507
Jan 28, 2011,Uniques 72,587
Jan 29, 2011,Uniques 54,835
Jan 30, 2011,Uniques 55,278
Jan 31, 2011,Uniques 89,798
Feb 1, 2011,Uniques 84,173
Feb 2, 2011,Uniques 87,766
Feb 4, 2011,Uniques 74,486
Feb 5, 2011,Uniques 59,694
Feb 6, 2011,Uniques 53,409
Feb 7, 2011,Uniques 85,423
Feb 8, 2011,Uniques 90,155
Feb 9, 2011,Uniques 91,489
Feb 10, 2011,Uniques 107,911
Feb 11, 2011,Uniques 114,325
Feb 12, 2011,Uniques 67,664
Feb 13, 2011,Uniques 66,317
Feb 14, 2011,Uniques 93,215
Feb 15, 2011,Uniques 109,831
Feb 16, 2011,Uniques 145,961
Feb 17, 2011,Uniques 130,144
Feb 19, 2011,Uniques 72,882
Feb 20, 2011,Uniques 70,672
Feb 21, 2011,Uniques 173,903
Feb 22, 2011,Uniques 147,395
Feb 23, 2011,Uniques 123,952
Feb 24, 2011,Uniques 116,995
Feb 25, 2011,Uniques 115,296
Feb 26, 2011,Uniques 80,611
Feb 27, 2011,Uniques 75,193
Feb 28, 2011,Uniques 112,086
Mar 1, 2011,Uniques 112,590
Mar 2, 2011,Uniques 112,883
Mar 3, 2011,Uniques 98,477
Mar 5, 2011,Uniques 69,942
Mar 6, 2011,Uniques 72,088
Mar 7, 2011,Uniques 102,114
Mar 8, 2011,Uniques 113,280
Mar 13, 2011,Uniques 65,068
Mar 14, 2011,Uniques 95,946
Mar 15, 2011,Uniques 102,330
Mar 16, 2011,Uniques 117,409
Mar 17, 2011,Uniques 86,794
Mar 18, 2011,Uniques 82,088
Mar 20, 2011,Uniques 73,532
Mar 22, 2011,Uniques 104,722
Mar 23, 2011,Uniques 109,129
Mar 24, 2011,Uniques 104,179
Mar 25, 2011,Uniques 95,409
Mar 26, 2011,Uniques 76,468
Mar 27, 2011,Uniques 77,135
Mar 28, 2011,Uniques 116,175
Mar 29, 2011,Uniques 84,777
Mar 30, 2011,Uniques 125,429
Mar 31, 2011,Uniques 126,260
Apr 1, 2011,Uniques 109,147
Apr 2, 2011,Uniques 77,708
Apr 4, 2011,Uniques 112,850
Apr 5, 2011,Uniques 113,993
Apr 6, 2011,Uniques 132,582
Apr 7, 2011,Uniques 121,005
Apr 8, 2011,Uniques 104,244
Apr 9, 2011,Uniques 83,765
Apr 10, 2011,Uniques 91,812
Apr 11, 2011,Uniques 131,282
Apr 12, 2011,Uniques 222,951
Apr 13, 2011,Uniques 146,516
Apr 14, 2011,Uniques 121,103
Apr 15, 2011,Uniques 113,208
Apr 16, 2011,Uniques 90,775
Apr 17, 2011,Uniques 84,445
Apr 19, 2011,Uniques 151,701
Apr 20, 2011,Uniques 144,546
Apr 21, 2011,Uniques 125,372
Apr 22, 2011,Uniques 116,103
Apr 23, 2011,Uniques 74,816
Apr 24, 2011,Uniques 75,764
Apr 25, 2011,Uniques 118,377
Apr 26, 2011,Uniques 129,683
Apr 27, 2011,Uniques 135,696
Apr 28, 2011,Uniques 130,729
Apr 29, 2011,Uniques 114,716
Apr 30, 2011,Uniques 80,684
May 1, 2011,Uniques 79,973
May 2, 2011,Uniques 130,206
May 4, 2011,Uniques 151,314
May 5, 2011,Uniques 134,223
May 6, 2011,Uniques 116,780
May 7, 2011,Uniques 79,199
May 8, 2011,Uniques 87,018
May 9, 2011,Uniques 124,214
May 10, 2011,Uniques 137,392
May 11, 2011,Uniques 152,109
May 12, 2011,Uniques 152,789
May 13, 2011,Uniques 128,944
May 14, 2011,Uniques 88,754
May 15, 2011,Uniques 86,962
May 16, 2011,Uniques 166,681
May 17, 2011,Uniques 136,364
May 19, 2011,Uniques 144,958
May 20, 2011,Uniques 115,793
May 21, 2011,Uniques 78,501
May 22, 2011,Uniques 82,073
May 23, 2011,Uniques 163,499
May 24, 2011,Uniques 185,176
May 25, 2011,Uniques 166,854
May 26, 2011,Uniques 140,994
May 27, 2011,Uniques 128,437
May 28, 2011,Uniques 90,859
May 29, 2011,Uniques 88,236
May 30, 2011,Uniques 106,837
May 31, 2011,Uniques 186,727
Jun 1, 2011,Uniques 191,475
Jun 3, 2011,Uniques 159,322
Jun 4, 2011,Uniques 105,005
Jun 5, 2011,Uniques 105,683
Jun 6, 2011,Uniques 157,829
Jun 7, 2011,Uniques 182,069
Jun 8, 2011,Uniques 159,814
Jun 9, 2011,Uniques 142,107
Jun 10, 2011,Uniques 127,837
Jun 11, 2011,Uniques 93,947
Jun 12, 2011,Uniques 96,111
Jun 13, 2011,Uniques 144,111
Jun 14, 2011,Uniques 134,913
Jun 15, 2011,Uniques 141,153
Jun 16, 2011,Uniques 141,642
Jun 18, 2011,Uniques 96,046
Jun 19, 2011,Uniques 92,999
Jun 20, 2011,Uniques 137,905
Jun 21, 2011,Uniques 147,573
Jun 22, 2011,Uniques 156,694
Jun 23, 2011,Uniques 139,976
Jun 24, 2011,Uniques 127,645
Jun 25, 2011,Uniques 90,455
Jun 26, 2011,Uniques 88,777
Jun 27, 2011,Uniques 145,207
Jun 28, 2011,Uniques 144,305
Jun 29, 2011,Uniques 159,254
Jun 30, 2011,Uniques 139,243
Jul 1, 2011,Uniques 112,769
Jul 3, 2011,Uniques 97,386
Jul 4, 2011,Uniques 89,162
Jul 5, 2011,Uniques 126,705
Jul 6, 2011,Uniques 157,642
Jul 7, 2011,Uniques 161,597
Jul 8, 2011,Uniques 140,025
Jul 9, 2011,Uniques 95,700
Jul 10, 2011,Uniques 100,572
Jul 11, 2011,Uniques 163,397
Jul 12, 2011,Uniques 172,032
Jul 13, 2011,Uniques 163,659
Jul 14, 2011,Uniques 149,479
Jul 15, 2011,Uniques 137,842
Jul 17, 2011,Uniques 96,155
Jul 18, 2011,Uniques 155,787
Jul 19, 2011,Uniques 157,409
Jul 20, 2011,Uniques 179,426
Jul 21, 2011,Uniques 147,023
Jul 22, 2011,Uniques 127,786
Jul 23, 2011,Uniques 98,084
Jul 24, 2011,Uniques 101,589
Jul 25, 2011,Uniques 151,750
Jul 26, 2011,Uniques 175,978
Jul 27, 2011,Uniques 173,260
Jul 28, 2011,Uniques 161,471
Jul 29, 2011,Uniques 142,791
Jul 30, 2011,Uniques 140,636
Aug 1, 2011,Uniques 149,897
Aug 2, 2011,Uniques 146,553
Aug 3, 2011,Uniques 204,501
Aug 4, 2011,Uniques 178,817
Aug 5, 2011,Uniques 166,613
Aug 6, 2011,Uniques 113,584
Aug 7, 2011,Uniques 137,388
Aug 8, 2011,Uniques 156,809
Aug 9, 2011,Uniques 167,885
Aug 10, 2011,Uniques 187,045
Aug 11, 2011,Uniques 178,568
Aug 12, 2011,Uniques 159,738
Aug 13, 2011,Uniques 122,073
Aug 14, 2011,Uniques 126,920
Aug 16, 2011,Uniques 173,451
Aug 17, 2011,Uniques 208,981
Aug 18, 2011,Uniques 165,810
Aug 19, 2011,Uniques 151,337
Aug 20, 2011,Uniques 112,588
Aug 21, 2011,Uniques 118,908
Aug 22, 2011,Uniques 164,992
Aug 23, 2011,Uniques 166,473
Aug 24, 2011,Uniques 182,512
Aug 25, 2011,Uniques 211,449
Aug 26, 2011,Uniques 155,384
Aug 27, 2011,Uniques 118,897
Aug 28, 2011,Uniques 111,389
Aug 29, 2011,Uniques 155,607
Aug 31, 2011,Uniques 175,542
Sep 1, 2011,Uniques 181,412
Sep 2, 2011,Uniques 171,413
Sep 3, 2011,Uniques 107,704
Sep 4, 2011,Uniques 107,361
Sep 5, 2011,Uniques 123,045
Sep 6, 2011,Uniques 169,043
